## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
19906	CR_Pending_Email_3 - Retired	Remarketing - FC Email	e5	CreditRepair	Other	Other	Other	nan	nan
19907	CR_Pending_Email_4 - Retired	Remarketing - FC Email	e5	CreditRepair	Other	Other	Other	nan	nan
20053	ExtraCredit - Restore It - Premium	Credit.com - Extra Credit	Extra Credit	CreditRepair	Other	Other	Other	nan	nan
20139	Social Media-16	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20140	Influencer Marketing	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20141	Social Media-18	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20145	Social Media-22	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20149	Social Media-26	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20152	Social Media-29	Brand - Direct Earned Social	Earned Media	CreditRepair	Other	Other	Other	nan	nan
20189	Simple Thrifty Living â€“ CR Social	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
20191	Affiliate - RX Marketing - Plain Text Email 1	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
20192	CR_RMKTG_Kaleyra_FOG_1	Remarketing - FOG SMS	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20195	CR_RMKTG_Kaleyra_FOG_4	Remarketing - FOG SMS	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20196	CR_RMKTG_Kaleyra_FOG_5	Remarketing - FOG SMS	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20198	CR_RMKTG_Kaleyra_FOG_7	Remarketing - FOG SMS	Remarketing	CreditRepair	Other	Other	Other	nan	nan
20265	Verizon Native	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
20274	Bing NB: snapshot	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
20290	Google: NB - Credit Score	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20291	Google: NB - Credit Repair	Online - PPC Search NB Google	Paid Search - Non-Brand	CreditRepair	Other	Search	Google	nan	nan
20296	Revcontent: P - CS Android Non-Push	Online - PPC Native Prospecting	Display	CreditRepair	Native - Prospecting	Other	Other	nan	nan
