## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
3280	Google: NBrand Mobile - Credit Repair 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3309	Google: NBrand Desktop - Remove Credit Negatives 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3314	Google: NBrand Mobile - Fix Credit 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3321	Google: NBrand Mobile - Loans 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3335	ConsumerAffairs	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3347	Google: NBrand Desktop - Credit Bureaus - RLSA	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3372	Facebook: Prospecting - Broad 2 (Snapshot)	Online - PPC Social Prospecting	Paid Social	LexingtonLaw	Other	Other	Other	nan	nan
3374	Facebook: Credit Repair - Interests Ad 1	Online - PPC Social Prospecting	Paid Social	LexingtonLaw	Other	Other	Other	nan	nan
3395	GDN Mobile - DSK Text 	Online - PPC Display Prospecting	Display	LexingtonLaw	Display - Prospecting	Other	Other	nan	nan
3396	Online - PPC Display GDN Desktop - DSK Text	Online - PPC Display Prospecting	Display	LexingtonLaw	Display - Prospecting	Other	Other	nan	nan
3419	LEX_Pending_Email_1 - Retired	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3421	LEX_Pending_Email_2 - Retired	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3422	LEX_RMKTG_Pending_3	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3423	LEX_RMKTG_Pending_4	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3424	LEX_RMKTG_ROR_1	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3425	Lex E7 Email Day 70 - Retired	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3426	LEX_RMKTG_ROR_2	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3428	Lex CO Email Day 61 - Retired	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3431	LEX_RMKTG_EXP_2	Remarketing - FC Email	e5	LexingtonLaw	Other	Other	Other	nan	nan
3517	Google: NBrand Desktop - Credit Repair KW Exact	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
3540	MSN: NBrand Mobile - How To Remove Negatives 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3566	Homes.com - Homes Media Solutions	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3568	Ryan Bales bettercreditblog.org	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3659	MSN: Nbrand Desktop - Legal 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3660	MSN: Nbrand Desktop - Subprime Credit 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3682	Simple Thrifty Living - Jeff Hunter	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3686	MSN: Nbrand Desktop - Credit Repair KW Exact	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3688	MSN: Nbrand Desktop - Fix My Credit KW Exact	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3711	Google: Brand Desktop - LEX Misspellings 1	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
3714	MSN: Brand Desktop - LEX Misspellings 1	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3715	MSN: Brand Mobile - LEX Misspellings 1	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3731	Liberty Rent Contract Online	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3747	Lex SMS Day 12 Short Link Test	Lead Gen - Remarketing	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
3764	MSN: NBrand Mobile - Fix Credit 1	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3766	MSN: NBrand Mobile - Fix My Credit KW Exact	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3769	MSN: NBrand Mobile - How To Remove Negatives 1	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3770	MSN: NBrand Mobile - Improve Credit 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3771	MSN: NBrand Mobile - Improve Credit 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3773	MSN: NBrand Mobile - Increase Credit 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3778	MSN: Brand Mobile - LEX Reviews 1	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3782	MSN: NBrand Mobile - Rebuild Credit 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3787	MSN: NBrand Mobile - Raise Credit 2	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3796	MSN: NBrand Mobile - Better Credit 1	Online - PPC Bing NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3799	Lynn (Linda) Burns	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3803	J&C RTO HTSP/SMS	Financial - Mortgage Broker	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
3820	AMS Financial - Brandon Perry	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3825	Debtcollectionanswers.com - Ultimate Credit Solution	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
3828	MSN: NBrand Mobile - Credit Repair 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3833	MSN: NBrand Mobile - Credit Repair 2 - Non CR	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3836	MSN: NBrand Mobile - Credit Repair KW Exact	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
